count	tag	chosen	via	mt_rendering	candidates (wording|back-translation|f1|src)	flag
2896	vaginal	阴道	kb	私处	阴道的|vaginal|1.0|wiki ; 阴道插入|Vaginal insertion|0.667|wiki ; 阴道插入阴道性交|Vaginal insertion vaginal intercourse|0.5|kbmt ; 阴道|vagina|0.0|kb ; 私处|private parts|0.0|mt	PACK_UNVERIFIED_RIVAL
2836	medium breasts	普通罩杯的胸	kb	中等胸围	中等乳房|Medium breasts|1.0|kbmt ; 普乳|General breast|0.5|wiki ; 普通罩杯的胸|Cup B breasts|0.4|kb ; 中等胸部(C)|Medium chest (C)|0.4|kb ; 中等胸围|Medium bust size|0.4|mt	PACK_UNVERIFIED_RIVAL
2780	loli	萝莉	kb	萝莉	萝莉|Lolita|0.0|kb ; 幼女|young girl|0.0|wiki ; 萝莉控萝莉|Lolicon lolita|0.0|kbmt	
2765	cum	精液	kb	精液	精液|semen|0.0|kb ; 射液|Ejaculation|0.0|kbmt ; 精子|sperm|0.0|kbmt	
2742	nude	裸体	kb	裸体	全裸群像|Nude group portrait|0.5|wiki ; 裸体|Naked|0.0|kb ; 裸体的|Naked|0.0|kb ; 裸|Naked|0.0|kbmt	
2716	spread legs	张开腿	kb_verified	分开双腿	张开腿|Spread your legs|0.8|kb ; 分开双腿|Spread your legs apart|0.667|mt ; M字张腿|M-shaped leg spread|0.333|kb ; 桃色蹲姿|Pink Squat Pose|0.0|kb	
2603	mosaic censoring	打了马赛克	kb_verified	马赛克打码	马赛克审查员|Mosaic censor|1.0|kbmt ; 马赛克|Mosaic|0.667|wiki ; 打了马赛克|Blurred with mosaic|0.5|kb ; 像素审查员|Pixel Censor|0.5|kbmt ; 马赛克打码|Mosaic masking|0.5|mt	
2547	collarbone	锁骨	kb	锁骨	锁骨|clavicle|0.0|kb	
2509	twintails	双马尾	kb_verified	双马尾	双马尾|Twintails|1.0|kb	
2505	blonde hair	金发	kb_verified	金发	金发|Blonde|0.667|kb ; 金色头发|Golden hair|0.5|wiki ; 黄色的头发|Yellow hair|0.5|kbmt ; 金发碧眼|Blonde and blue-eyed|0.4|wiki	
2501	completely nude	完全裸露	kb_verified	全裸	完全裸露|Completely naked|0.5|kb ; 完全赤裸|Completely naked|0.5|kbmt ; 裸帽子|Bare hat|0.0|wiki ; 全裸|Naked|0.0|mt	
2465	heart	心	kb_verified	心形	心|heart|1.0|kb ; 心形|Heart shape|0.667|kb ; 爱心|Love|0.0|kb	
2436	swimsuit	泳装	kb	泳装	泳装|Swimwear|0.0|kb ; 水着|Bikini|0.0|wiki ; 泳衣|Swimwear|0.0|kbmt ; 泳衣泳衣|Swimwear Swimwear|0.0|kbmt	
2318	indoors	室内	kb_verified	室内	室内|Indoors|1.0|kb ; 屋内|Indoors|1.0|wiki ; 在室内|Indoors|1.0|kbmt ; 部屋|Room|0.0|wiki	
2287	bare shoulders	露肩	kb_verified	露肩	露肩|Off-the-shoulder|0.5|kb ; 露肩露肩|Off-the-shoulder Off-the-shoulder|0.5|kbmt ; 露肩装|Off-shoulder dress|0.4|wiki	
2217	closed mouth	闭着的嘴	kb_verified	闭眼	闭着的嘴|Closed mouth|1.0|kb ; 闭上的嘴巴|Closed mouth|1.0|wiki ; 闭嘴|Shut up|0.0|kbmt ; 闭眼|Close your eyes|0.0|mt	
2194	red eyes	红眼	kb_verified	红眼	红眼|Red eyes|1.0|kb ; 红眼睛|Red eyes|1.0|kb ; 红眼红眼|Red eyes Red eyes|1.0|kbmt	
2160	animal ears	兽耳	kb_verified	兽耳	兽耳|Animal ears|1.0|kb ; 獣耳|Animal ears|1.0|wiki ; 獣娘|Beast Girl|0.0|wiki	
2138	on back	仰躺	kb_verified	背部	背部|Back|1.0|mt ; 仰躺|Lie on your back|0.5|kb ; 仰卧|Lie on your back|0.5|kbmt ; 躺着|Lying down|0.0|wiki	
2110	hair between eyes	延伸到两眼之间的刘海	kb_verified	额前碎发	眼睛之间的刘海|Bangs between the eyes|0.667|kbmt ; 延伸到两眼之间的刘海|Bangs extending between the eyes|0.571|kb ; 额前碎发|fringe hair on the forehead|0.333|mt	
1991	sitting	坐着	kb_verified	坐着	坐着|Sitting|1.0|kb ; 坐|Sit|0.0|kb ; 椅子尻|Chair seat|0.0|wiki ; 坐下来|Sit down|0.0|kbmt	
1969	tongue	舌头	kb_verified	舌头	舌头|Tongue|1.0|kb ; 舌|tongue|1.0|wiki ; 说方言|Speak in tongues|0.0|kbmt	
1959	stomach	小腹	kb	腹部	胃|stomach|1.0|kbmt ; 小腹|lower abdomen|0.0|kb ; 下腹|Lower abdomen|0.0|wiki ; 腹部|Abdomen|0.0|mt	PACK_UNVERIFIED_RIVAL
1907	multiple girls	多个女孩	kb_verified	多个女性	多个女孩|Multiple girls|1.0|kb ; 多女性|Multiple females|0.5|wiki ; 多个女性|Multiple women|0.5|mt ; 群像|Group Portrait|0.0|wiki	
1901	purple eyes	紫色的眼睛	kb_verified	紫色眼睛	紫色的眼睛|Purple eyes|1.0|kb ; 紫目|Purple eyes|1.0|wiki ; 紫色眼睛|Purple eyes|1.0|mt ; 淡紫色的眼睛|Pale purple eyes|0.8|kbmt ; 紫发|Purple hair|0.5|kb	
1900	standing	站立的	kb_verified	站立	站立的|Standing|1.0|kb ; 站立|Stand|1.0|mt ; 常设|Permanent|0.0|kbmt	
1897	long sleeves	长袖	kb_verified	长袖	长袖|Long sleeves|1.0|kb	
1860	clothes lift	掀起衣物	kb_verified	衣服上移	掀起衣物|Lift up the clothes|0.8|kb ; 掀衣服|Lift up the clothes|0.8|wiki ; 掀起衣服|Lift up the clothes|0.8|wiki ; 衣服电梯|Clothes elevator|0.5|kbmt ; 衣服上移|Clothes move upward|0.4|mt	
1860	brown eyes	棕眼	kb_verified	棕色眼睛	棕眼|Brown eyes|1.0|kb ; 棕色的眼睛|Brown eyes|1.0|kb ; 棕色眼睛|Brown eyes|1.0|mt ; 浅棕色的眼睛|Light brown eyes|0.8|kbmt ; 茶目|Tea tricks|0.0|wiki	
1772	anus	肛门	kb_verified	肛门	肛门|anus|1.0|kb ; 尻穴|Anal hole|0.0|wiki ; 屁眼|buttock|0.0|kbmt	
1736	tongue out	吐舌头	kb_verified	吐舌头	吐舌头|Stick out tongue|0.8|kb ; 吐舌|Stick out tongue|0.8|wiki ; 伸出舌头|Stick out your tongue|0.667|kbmt	
1686	jewelry	珠宝	kb_verified	首饰	珠宝|Jewelry|1.0|kb ; 宝饰品|Jewelry|1.0|wiki ; 首饰|Jewelry|1.0|mt ; 珠宝首饰|Jewelry|1.0|kbmt	
1675	cleavage	乳沟	kb	乳沟	乳沟过胸|Deep cleavage over the chest|0.4|kbmt ; 乳沟|decolletage|0.0|kb ; 谷间|valley|0.0|wiki	
1650	sex from behind	背影性爱	mt_verified	背影性爱	背影性爱|Sex from behind|1.0|mt ; 从后面从后面采取的位置|The position taken from behind, from the back|0.5|kbmt ; 泛指从身后插入的体位|Refers generally to positions where penetration occurs from behind|0.364|kb ; 后入|Late entry|0.0|wiki ; 后背位|Back position|0.0|wiki	DEVIATES_FROM_PACK
1632	bow	蝴蝶结	kb_verified	鞠躬	蝴蝶结|bow|1.0|kb ; 鞠躬|Bow|1.0|kbmt	
1619	white shirt	白衬衫	kb_verified	白衬衫	白衬衫|White shirt|1.0|kb ; 白色衬衫|White shirt|1.0|wiki	
1612	very long hair	很长的头发	kb_verified	超长头发	很长的头发|Long hair|0.8|kb ; 超长发|Extra long hair|0.667|wiki ; 超长头发|Extremely long hair|0.667|mt ; 过腰的头发|Hair past the waist|0.333|kbmt	
1590	multicolored hair	多色的头发	kb_verified	多彩头发	多色的头发|Multicolored hair|1.0|kb ; 多色发|Multicolor hair|1.0|wiki ; 多色头发|Multicolored hair|1.0|kbmt ; 三色发|tricolor hair|0.5|wiki ; 多彩头发|Colorful hair|0.5|mt	
1567	blue hair	蓝发	kb_verified	蓝发	蓝发|Blue hair|1.0|kb ; 蓝色头发|Blue hair|1.0|kb ; 蓝头发|Blue hair|1.0|kbmt	
1564	speech bubble	会话气泡	kb_verified	对话框	会话气泡|Conversation bubble|0.5|kb ; 对话气泡|Dialogue bubble|0.5|wiki ; 语音气球文本泡沫字泡沫|Voice balloon text bubble letters bubble|0.286|kbmt ; 对话框|Dialog box|0.0|kb	
1508	pov	第一人称视角	kb	视角	第一人称视角|First-person perspective|0.0|kb ; 主観视点|Subjective perspective|0.0|wiki ; 自分视点|My own perspective|0.0|wiki ; 视角|Perspective|0.0|mt ; 男性观点|Male perspective|0.0|kbmt	
1464	2girls	2个女性	kb	2个女性	2个女性|2 females|0.0|kb ; 两个女孩|Two girls|0.0|wiki ; 2个女孩2个女孩|2 girls 2 girls|0.0|kbmt	
1429	pink hair	粉红色的头发	kb_verified	粉发	粉红色的头发|Pink hair|1.0|kb ; 粉色头发|Pink hair|1.0|wiki ; 粉发|Pink hair|1.0|mt ; 洋红色的头发粉红色的头发|Magenta hair, pink hair|0.8|kbmt	
1404	barefoot	裸足	kb_verified	赤脚	裸足|Barefoot|1.0|kb ; 光脚|Barefoot|1.0|wiki ; 赤脚|Barefoot|1.0|kbmt	
1400	erection	勃起	kb_verified	勃起	勃起|Erection|1.0|kb ; 勃起的阴茎|Erect penis|0.0|kbmt	
1395	cum in pussy	内射	kb	阴道内射精	内射|injective|0.0|kb ; 中出|ejaculation inside|0.0|kb ; 膣内射精|Vaginal ejaculation|0.0|wiki ; 暨里面|and inside|0.0|kbmt ; 阴道内射精|Vaginal ejaculation|0.0|mt	
1374	holding	拿着	kb_verified	握着	握着|holding|1.0|mt ; 拿着|Hold it|0.667|kb ; 拿着某物|holding something|0.667|kb ; 握住物体|Hold an object|0.667|kbmt ; 手持|Handheld|0.0|wiki	
1371	on bed	在床上	kb_verified	在床上	在床上|In bed|1.0|kb	
1332	green eyes	绿眼	kb_verified	绿眼睛	绿眼|Green eyes|1.0|kb ; 绿眼睛|Green eyes|1.0|mt ; 绿眼绿眼|Green eyes Green eyes|1.0|kbmt ; 绿色的眼镜|Green glasses|0.5|kb	
1325	closed eyes	闭上的眼睛	kb_verified	闭眼	闭上的眼睛|Closed eyes|1.0|kb ; 闭着眼睛|With eyes closed|1.0|kbmt ; 闭上双眼|Close your eyes|0.4|wiki ; 闭眼|Close your eyes|0.4|mt	
1304	sidelocks	双马尾	mt_unverified	双马尾	披在耳前的发绺|Strands of hair falling in front of the ears|0.0|kb ; 鬓发|sideburns|0.0|wiki ; 横髪|Side-swept hair|0.0|wiki ; 额发|forehead hair|0.0|kbmt ; 双马尾|Twintails|0.0|mt	DEVIATES_FROM_PACK
1279	grey hair	白发	kb_verified	灰发	白发|White hair|0.5|kb ; 银发|Silver hair|0.5|kb ; 灰发|Gray hair|0.5|kb ; 灰色的头发|Gray hair|0.5|kb	
1277	halo	天使光环	kb_verified	光环	光环|Halo|1.0|kbmt ; 天使光环|Angel halo|0.667|kb ; 头顶光环|Halo above the head|0.5|kb	
1271	ponytail	马尾	kb_verified	双马尾	马尾|Ponytail|1.0|kb ; 马尾辫|Ponytail|1.0|wiki ; 长马尾马尾辫|Long ponytail|0.667|kbmt ; 双马尾|Twintails|0.0|mt	
1269	uncensored	无修正	kb	未打码	未打码|Uncensored|1.0|mt ; 无码版|Uncensored version|0.667|wiki ; 无修正|Unedited|0.0|kb ; 未审核的/无码|Unreviewed/No code|0.0|kb ; 未经审查的|Unreviewed|0.0|kbmt	PACK_UNVERIFIED_RIVAL
1238	teeth	牙齿	kb_verified	牙齿	牙齿|Teeth|1.0|kb ; 歯|teeth|1.0|wiki ; 露出牙齿|Show teeth|0.667|kbmt	
1231	school uniform	校服	kb_verified	校服	校服|School uniform|1.0|kb ; 学校制服|School uniform|1.0|kb ; 学生服|school uniform|1.0|wiki ; 女学生校服女学生|Female student uniform, female student|0.4|kbmt	
1193	pussy juice	爱液	kb	阴液	爱液|semen|0.0|kb ; 淫水|leakage|0.0|kb ; 阴液|Yin fluid|0.0|mt ; 阴部汁滴|Vaginal discharge|0.0|kbmt	
1187	armpits	腋下	kb_verified	腋下	腋下|armpit|1.0|kb ; 腋|armpit|1.0|wiki ; 腋窝|armpit|1.0|kbmt ; 显示|Display|0.0|kbmt	
1178	yellow eyes	黄色的眼睛	kb_verified	黄色眼睛	黄色的眼睛|Yellow eyes|1.0|kb ; 黄眼|Yellow eyes|1.0|wiki ; 黄色眼睛|Yellow eyes|1.0|mt ; 琥珀色的眼睛|Amber eyes|0.5|kbmt ; 金眼|Golden Eye|0.0|kb	
1178	white hair	白发	kb_verified	白发	白发|White hair|1.0|kb ; 白毛|White hair|1.0|wiki ; 白色头发|White hair|1.0|wiki ; 白色的头发|White hair|1.0|kbmt	
1161	black thighhighs	黑色过膝袜	kb	黑色过膝袜	黑丝|Black stockings|0.5|wiki ; 黑色过膝袜|Black knee-high socks|0.333|kb ; 黑色长筒袜|Black thigh-high stockings|0.333|kbmt	
1153	parted lips	张开的嘴唇	kb_verified	微张的嘴唇	张开的嘴唇|Parted lips|1.0|kb ; 分开的嘴唇|Parted lips|1.0|kbmt ; 微张的嘴唇|Slightly parted lips|0.8|mt ; 嘴巴微张|Mouth slightly open|0.0|wiki	
1136	oral	口交	kb_verified	口交	口服|Oral|1.0|kbmt ; 口交|Oral sex|0.667|kb ; 用嘴|with the mouth|0.0|kb	
1118	female focus	女性焦点（画面中为女性）	kb_verified	以女性为主角	女性焦点（画面中为女性）|Female Focus (female in the image)|0.8|kb ; 以女性为主角|With a female protagonist|0.5|mt	
1115	braid	辫子	kb_verified	辫子	辫子|braids|1.0|kb ; 辫子的头发|braided hair|0.667|kbmt ; 三股辫|three-strand braid|0.5|kb	
1112	from behind	背影	kb	背影	从后面看|Viewed from behind|0.8|kbmt ; 从背面|From the back|0.5|wiki ; 背影|Back view|0.0|kb	PACK_UNVERIFIED_RIVAL
1103	medium hair	中等长发	kb_verified	短发	中等长发|medium-length hair|0.8|kb ; 短发|Short hair|0.5|mt ; 齐肩发|Shoulder-length hair|0.4|kbmt ; 中发|Zhongfa|0.0|wiki	
1085	choker	项圈	kb	颈饰	项圈|collar|0.0|kb ; 颈圈|collar|0.0|wiki ; 颈饰|Necklace|0.0|mt	
1083	ahoge	呆毛	kb	呆毛	呆毛|Sweaty hair|0.0|kb ; 阿赫格|Aheg|0.0|kbmt	
1074	panties	内裤	kb	内裤	内裤|underwear|0.0|kb ; 短裤|shorts|0.0|kb ; 裤袜|stockings|0.0|kb	
1072	hat	帽子	kb_verified	帽子	帽子|Hat|1.0|kb ; 裸帽子|Bare hat|0.667|wiki ; 头饰|Headdress|0.0|wiki	
1070	feet	脚	kb	脚部	脚部|Feet|1.0|mt ; 脚|foot|0.0|kb ; 足|foot|0.0|wiki	PACK_UNVERIFIED_RIVAL
1066	thighhighs	过膝袜	kb	过膝袜	过膝袜|Knee-high socks|0.0|kb ; 含过膝袜和裤袜|Includes knee-high socks and pantyhose|0.0|kb ; 长筒袜|stockings|0.0|kbmt ; 裸体长筒袜|Naked thigh-high stockings|0.0|kbmt	
1064	female pubic hair	女性阴毛	kb_verified	女性阴毛	女性阴毛|Female pubic hair|1.0|kb ; 阴毛（女）|Vulvar hair (female)|0.667|kbmt	
1046	open clothes	敞开的衣服	kb_verified	暴露装束	敞开的衣服|Open clothing|1.0|kb ; 打开衣服|Open the clothes|1.0|kbmt ; 敞开衣服|Unbutton one's clothes|0.5|kb ; 暴露装束|Exposing attire|0.0|mt	
1040	looking back	回眸	kb_verified	回头看	回眸|Looking Back|1.0|kb ; 向后看|Look back|1.0|kb ; 回头看|Looking back|1.0|mt ; 回头看转身|Looking back and turning around|0.667|kbmt	
1039	purple hair	紫发	kb_verified	紫发	紫发|Purple hair|1.0|kb ; 紫色头发|Purple hair|1.0|kb ; 薰衣草的头发|Lavender hair|0.5|kbmt	
1027	bottomless	裸下半身	kb	无底洞	无底|Bottomless|1.0|kbmt ; 无底洞|Bottomless pit|0.667|mt ; 裸下半身|Naked lower body|0.0|kb ; 下身裸体|Naked from the waist down|0.0|wiki ; 侧面全裸|Completely naked on the side|0.0|wiki	PACK_UNVERIFIED_RIVAL
1018	hair ribbon	发绳	kb_verified	发带	头发|Hair|0.667|kbmt ; 发绳|Hair tie|0.5|kb ; 发带|headband|0.0|kb	
1008	testicles	睾丸	kb_verified	睾丸	睾丸|testicles|1.0|kb ; 金玉|Jinyu|0.0|wiki ; 金玉妊娠|Golden Jade Pregnancy|0.0|wiki ; 球|ball|0.0|kbmt	
1004	cum on body	射在身上	kb_verified	身体上的精液	射在身上|Shot at the body|0.5|kb ; 射在腋下|Shooting under the armpit|0.0|kbmt ; 射在胳膊上|Shot on the arm|0.0|kbmt ; 身体上的精液|Physical semen|0.0|mt	
1003	multiple views	多角度	kb_verified	多角度视角	多个视图|Multiple views|1.0|kbmt ; 多角度|Multiple angles|0.5|kb ; 多姿势|Multiple poses|0.5|kb ; 多角度视角|Multiple perspectives|0.5|mt ; 三视图|Three-view drawing|0.4|wiki	
996	flat chest	平胸	kb_verified	平胸	平胸|Flat chest|1.0|kb ; 贫乳|Small breasts|0.0|kb ; 贫乳(A)|Small breasts (A)|0.0|kb	
993	pillow	枕头	kb_verified	枕头	枕头|pillow|1.0|kb ; 枕|pillow|1.0|wiki ; 黑色抱枕|Black pillow|0.667|kbmt ; 蓝色抱枕|Blue pillow|0.667|kbmt	
993	fellatio	口交	kb	口交	口交|Oral sex|0.0|kb ; 桌下口交|Oral sex under the table|0.0|wiki	
977	full body	全身	kb_verified	全身	全身|entire body|0.5|kb ; 画出了全身|The whole body is shown.|0.4|kb ; 全景镜头|Panoramic shot|0.0|wiki	
974	groping	猥亵	kb	触碰	猥亵|Indecent behavior|0.0|kb ; 爱抚|caress|0.0|wiki ; 抚摸|touch|0.0|kbmt ; 摸索|fumble around|0.0|kbmt ; 触碰|Touch|0.0|mt	
969	clothed female nude male	穿衣服的女性 裸体男性	mt_unverified	穿衣服的女性 裸体男性	裸体男性|Nude man|0.333|kbmt ; 穿着衣服的女性|A woman wearing clothes|0.286|kbmt ; 穿着衣服的女性和裸男|Clothed woman and naked man|0.25|kb ; 穿衣服的女性 裸体男性|Clothed woman, naked man|0.25|mt	DEVIATES_FROM_PACK
963	pointy ears	尖耳	kb_verified	兽耳	尖耳|Pointed ears|0.5|kb ; 妖精耳|Fairy ears|0.5|kb ; 兽耳|Animal ears|0.5|mt ; 尖耳朵|Pointed ears|0.5|kbmt ; 长耳朵|Long ears|0.5|kbmt	
954	cowboy shot	七分身镜头	kb	牛仔照	中景镜头|Medium shot|0.5|wiki ; 牛仔照|Cowboy photo|0.5|mt ; 牛仔射击|Cowboy Shooting|0.5|kbmt ; 七分身镜头|Seven-clone shot|0.4|kb	
953	toes	脚趾	kb_verified	脚趾	脚趾|toes|1.0|kb ; 足指|toes|1.0|wiki	
948	earrings	耳环	kb_verified	耳环	耳环|Earrings|1.0|kb ; 耳坠|Earrings|1.0|wiki ; 黑色耳环|Black earrings|0.667|kbmt ; 水蓝色耳环|Aqua blue earrings|0.5|kbmt ; 耳饰|Earring|0.0|wiki	
942	skirt	短裙	kb_verified	裙子	裙|skirt|1.0|wiki ; 裙子|skirt|1.0|kbmt ; 短裙|Short skirt|0.667|kb	
938	saliva	唾液	kb_verified	唾液	唾液|Saliva|1.0|kb ; 口水|Saliva|1.0|wiki ; 口水吐|Spit out saliva|0.5|kbmt	
932	bed sheet	床单	kb_verified	床单	床单|Bed sheets|1.0|kb	
910	mole	痣	kb	痣	痣|moles|0.0|kb ; 美容标记|Beauty marks|0.0|kbmt	
887	straddling	跨坐	kb_verified	跨坐	跨坐|straddling|1.0|kb ; 跨骑|Mounting|0.0|kbmt	
887	age difference	年龄差	kb_verified	年龄差	年龄差|Age difference|1.0|kb ; 青年少女|young girl|0.0|wiki ; 大人×子供|Adult × Child|0.0|wiki ; 年长的年轻|Older young|0.0|kbmt	
882	red hair	红发	kb_verified	红发	红发|Red hair|1.0|kb ; 赤发|Red hair|1.0|wiki ; 红头发|Red hair|1.0|kbmt ; 红毛|Redhead|0.0|wiki	
878	symbol-shaped pupils	符号形瞳孔	kb	符号状瞳孔	符号形瞳孔|Symbolic Pupil|0.4|kb ; 瞳孔形状|Pupil shape|0.4|wiki ; 符号状瞳孔|Pupils with a symbolic shape|0.333|mt ; 柄目|Handle category|0.0|wiki	
872	white panties	白色内裤	kb_verified	白色内裤	白色内裤|White underwear|0.5|kb ; 白下着|White undergarments|0.5|wiki	
870	horns	兽角	kb_verified	角	兽角|Animal horns|0.667|kb ; 角|corner|0.0|kb ; 有角的|Angulated|0.0|kb	
868	virtual youtuber	虚拟Youtuber	kb_verified	虚拟油管主播	虚拟Youtuber|Virtual Youtuber|1.0|kb ; 虚拟主播|Virtual streamer|0.5|wiki ; 虚拟UP主|Virtual UP主|0.5|wiki ; 虚拟油管主播|Virtual oil tube streamer|0.333|mt ; 微博|Weibo|0.0|kbmt	
850	blunt bangs	齐刘海	kb_verified	钝形刘海	钝刘海|Blunt bangs|1.0|kbmt ; 钝形刘海|Blunt bangs|1.0|mt ; 齐刘海|Bangs|0.667|kb ; 直刘海|Straight bangs|0.5|kb	
848	tail	尾巴	kb_verified	尾巴	尾巴|tail|1.0|kb ; 尻尾|tail|1.0|wiki ; 动物尾巴|Animal tails|0.667|kbmt ; 七宝尾巴|Seven Treasures Tail|0.5|kbmt	
