count	axis	en	ja_current	via	mt_ja	alts	candidates	flags
85	general	white jacket	白い上着	tagpair_verified	白いジャケット		白い上着(tagpair)|白いジャケット(tagpair)	
85	general	surprised	驚く	wiki_verified	驚いた	驚き|驚いた|びっくり|ビックリ	驚く(wiki)|驚いた(wiki)|びっくり(tagpair)|驚き(wiki)	
85	general	petals	花びら	mt_verified	花びら	花瓣|花弁	花びら(wiki)|花弁(wiki)	
85	general	bridal gauntlets	ウェディンググローブ	mt_unverified	ウェディンググローブ		ウェディンググローブ(mt)	mt_unverified
85	general	cow horns	牛の角	mt_verified	牛の角		牛の角(wiki)	
85	general	door	ドア	mt_verified	ドア	扉	ドア(wiki)|扉(wiki)	
85	character	ellen joe	エレン・ジョー	wikidata		エレン|エレンジョー|エレン・ジョー(ゼンゼロ)		
85	general	short twintails	ショートツインテール	mt_unverified	ショートツインテール		短めツインテール(tagpair)|ショートツインテール(tagpair)|二つ結び(wiki)	mt_unverified
85	general	interspecies	異種間	mt_unverified	異種間	人間♂×ポケモン♀|異種姦|異種和姦|人外×少女	人間♂×ケモノ♀(wiki)|人間♂×ポケモン♀(wiki)|異種間(mt)|異種姦(wiki)|異種和姦(tagpair)	mt_unverified
85	general	holding food	食べ物を持つ手	tagpair_verified	食べ物を持っている		食べ物を持つ手(tagpair)|食べ物を持つ(tagpair)|食べ物を持っている(mt)	
85	general	torn legwear	破れた脚衣	mt_unverified	破れた脚衣		破れタイツ(tagpair)|破れストッキング(tagpair)|破れた脚衣(mt)	mt_unverified
84	general	:p	:p	mt_verified	:p		:p(mt)|舌を出している(tagpair)	
84	general	blue bowtie	青いボウタイ	tagpair_verified	青い蝶ネクタイ		青いボウタイ(tagpair)|青い蝶ネクタイ(tagpair)	
84	general	standing split	立ちスプリット	mt_verified	立ちスプリット	I字バランス|I字バランス部|淫蘭|I字開脚	立ちスプリット(mt)|Y字バランス(wiki)|I字バランス(wiki)|I字バランス部(wiki)	
84	general	blazer	ブレザー	mt_verified	ブレザー	水着ブレザー|ブレザー制服+パーカー	ブレザー(wiki)|水着ブレザー(wiki)|ブレザー制服+パーカー(wiki)	
84	general	arm behind back	腕を後ろに	tagpair_verified	背中に腕を回す		腕を後ろに(tagpair)|腕を後ろに引く(tagpair)|背中に腕を回す(mt)	
84	general	alternate hairstyle	別の髪型	mt_unverified	別の髪型		別の髪型(mt)|髪型チェンジ(wiki)	mt_unverified
84	general	cloudy sky	曇り空	mt_verified	曇り空	曇り空|曇天	曇り空(wiki)|曇り(wiki)|曇天(wiki)	
84	copyright	mushoku tensei	無職転生	wiki_han		無職轉生|無職転生FA		
84	general	twins	双子	mt_verified	双子	双胞胎	双子(wiki)|双胞胎(wiki)	
84	general	anger vein	怒りの血管	mt_unverified	怒りの血管	青筋	青筋(wiki)|怒りマーク(wiki)|怒りの血管(mt)	mt_unverified
84	general	alternate breast size	胸のサイズ変更	mt_unverified	胸のサイズ変更		胸のサイズ変更(mt)|貧乳化(tagpair)|爆乳化(tagpair)|巨乳化(tagpair)	mt_unverified
84	general	eyepatch	目隠し	mt_unverified	目隠し	眼帯	アイパッチ(wiki)|目隠し(mt)|眼帯(wiki)	mt_unverified
84	general	bald	ハゲ	wiki_verified	ハゲ頭	スキンヘッド|剃髪	ハゲ(wiki)|スキンヘッド(wiki)|ハゲ頭(mt)|剃髪(wiki)	
83	general	white bow	白いリボン	mt_unverified	白いリボン		白いリボン(tagpair)	mt_unverified
83	general	swim ring	水遊び用リング	mt_unverified	水遊び用リング		水遊び用リング(mt)|スイムリング(tagpair)|浮輪(tagpair)	mt_unverified
83	general	head on pillow	枕に頭を乗せるキャラクター	tagpair_verified	枕に頭を乗せる		枕に頭を乗せるキャラクター(tagpair)|枕に頭を乗せる(tagpair)	
83	general	unworn bra	未着用ブラジャー	tagpair_verified	未使用のブラジャー	脱いだ下着	未着用ブラジャー(tagpair)|未着用のブラジャー(tagpair)|ブラ抜き(wiki)|未使用のブラジャー(mt)|脱いだ下着(wiki)	
83	general	thick eyebrows	太い眉	mt_verified	太い眉	粗眉毛	太い眉(mt)|太眉(wiki)	
83	general	thigh boots	ニーブーツ	mt_unverified	ニーブーツ	編み上げサイハイブーツ	編み上げサイハイブーツ(wiki)|サイハイブーツ(wiki)|ニーブーツ(mt)	mt_unverified
83	general	3d background	3D背景	mt_verified	3D背景		3D背景(wiki)	
82	general	visor cap	バイザーキャップ	mt_verified	バイザーキャップ		バイザーキャップ(mt)|サンバイザー(wiki)	
82	general	pantyshot	パンティショット	mt_unverified	パンティショット	パンティラ|座りパンチラ|しゃがみパンチラ|ダイナミックパンチラ	パンチラ(wiki)|パンティラ(wiki)|座りパンチラ(wiki)|パンティショット(mt)	mt_unverified
82	general	white sailor collar	白いセーラー襟	tagpair_verified	白いセーラーカラー		白いセーラー襟(tagpair)|白いセーラーカラー(tagpair)	
82	general	cross	十字	wiki_verified	十字形	十字架	十字(wiki)|十字架(wiki)|十字形(mt)	
82	general	ball	ボール	mt_verified	ボール	球	ボール(wiki)|球(wiki)	
82	general	selfie	自撮り	wiki_verified	セルフィー	自分撮り|自画撮り|エロ自撮り|自拍	自撮り(wiki)|自分撮り(wiki)|自画撮り(wiki)|セルフィー(mt)	
82	general	clitoral hood	クリトリスの覆い	mt_unverified	クリトリスの覆い		包茎クリトリス(wiki)|クリトリスの覆い(mt)	mt_unverified
82	general	cover	表紙	mt_verified	表紙		表紙(mt)|封面(wiki)	
82	copyright	re:zero kara hajimeru isekai seikatsu	腐ゼロ	wiki		リゼロ|Reゼロ|Re:ゼロから始める異世界生活		
82	general	finger to mouth	口元に指を当てる	mt_verified	口元に指を当てる		口元に指を当てる(mt)|口に手(wiki)	
82	general	full-face blush	フルフェイス赤面	tagpair_verified	全身が赤くなる		フルフェイス赤面(tagpair)|顔全体の赤面(tagpair)|全身が赤くなる(mt)	
81	general	red halo	赤い光輪	tagpair_verified	赤いハロー		赤い光輪(tagpair)|赤いハロー(tagpair)	
81	general	...	...	mt_unverified	...		...(mt)|省略(tagpair)	mt_unverified
81	general	randoseru	ランドセル	mt_unverified	ランドセル	裸ランドセル	ランドセル(wiki)|裸ランドセル(wiki)	mt_unverified
81	general	long fingernails	長い爪	mt_unverified	長い爪		長い爪(tagpair)	mt_unverified
81	general	gyaru	ギャル	mt_unverified	ギャル	ギャル化|白ギャル|ギャル系|黒ギャル	ネオギャル(tagpair)|ギャル(wiki)|ギャル化(wiki)|白ギャル(wiki)|黒ギャル(tagpair)	mt_unverified
81	general	front-tie bikini top	フロントタイビキニトップ	tagpair_verified	フロントタイ付きビキニトップ		フロントタイビキニトップ(tagpair)|フロントタイ付きビキニトップ(mt)|前系比基尼上装(wiki)	
80	general	blue necktie	青いネクタイ	mt_unverified	青いネクタイ		青いネクタイ(tagpair)	mt_unverified
80	general	pencil skirt	スカート	mt_unverified	スカート	タイトスカート	スカート(mt)|タイトスカート(wiki)|タイトミニ(wiki)	mt_unverified
80	general	feet up	足上げ	wiki_verified	足を上げる	両足上げ	足上げ(wiki)|両足上げ(wiki)|足上げポーズ(tagpair)|足を上げる(mt)	
80	general	grabbing own ass	自分のお尻を掴む	mt_unverified	自分のお尻を掴む		自分の尻をつかむ(tagpair)|自分のお尻を掴む(mt)	morpheme-family;mt_unverified
80	general	string panties	ストリングパンティー	mt_verified	ストリングパンティー		ストリングパンティー(mt)|紐パンティ(tagpair)|紐パン(tagpair)	
80	general	cheerleader	チアガール	wiki_verified	チアリーダー	チアガール|チアリーダー|チアリーディング	チアガール(wiki)|チアリーダー(wiki)|チア(wiki)	
80	general	hand on own chest	胸に手	wiki_verified	胸に手を当てる	心臓を捧げよ|手放自己胸口	胸に手(wiki)|胸に手を当てる(mt)|手放自己胸口(wiki)|心臓を捧げよ(wiki)	
80	general	cum on ass	お尻に精液	mt_unverified	お尻に精液		尻ぶっかけ(wiki)|尻にザーメン(tagpair)|尻に射精(tagpair)|お尻に精液(mt)	morpheme-family;mt_unverified
80	general	pussy peek	パッシュピーク	mt_unverified	パッシュピーク	大陰唇	マンチラ(wiki)|パッシュピーク(mt)|大陰唇(wiki)	mt_unverified
80	general	rope	ロープ	mt_verified	ロープ	ロープ|縄	ロープ(wiki)|縄(wiki)|ロペ(wiki)	
80	general	male masturbation	男オナニー	wiki_verified	男性の自慰行為	男オナニー|女装オナニー|男性自慰	男オナニー(wiki)|男性の自慰行為(mt)|女装オナニー(wiki)|せんずり(wiki)	
80	character	furina (genshin impact)	フリーナ	wiki		フリヌヴィ|ヌヴィフリ|フォカロルス|フリーナ(原神)		
79	general	ribs	肋骨	mt_verified	肋骨		肋骨(wiki)	han-outside-inventory
79	general	polka dot	水玉模様	mt_verified	水玉模様		水玉模様(mt)|水玉(wiki)	han-outside-inventory
79	general	cleavage cutout	胸元の切り込み	mt_unverified	胸元の切り込み	ズリ穴|胸開き|谷間ホール|パイズリ穴	胸元の切り込み(mt)|逆アコ(wiki)|ズリ穴(wiki)|胸開き(wiki)|谷間ホール(tagpair)	mt_unverified
79	general	thighlet	ニーハイ下	mt_unverified	ニーハイ下		太ももリング(tagpair)|太ももの宝石(tagpair)|ニーハイ下(mt)	mt_unverified
79	general	double-parted bangs	ダブルパートバングス	tagpair_verified	二つに分かれた前髪		ダブルパートバングス(tagpair)|ダブルパート分けバングス(tagpair)|二つに分かれた前髪(mt)	
79	character	hayasaka ai	早坂愛	wikidata		ハーサカ		
79	character	fern (sousou no frieren)	フェルン	wiki		フェルンっぱい|フェルン(葬送のフリーレン)		
79	general	bikini top lift	ビキニトップリフト	tagpair_verified	ビキニトップの持ち上がり		ビキニトップリフト(tagpair)|ビキニトップ持ち上げ(tagpair)|ビキニトップの持ち上がり(mt)	
79	general	after sex	セックス後	mt_verified	セックス後	ずらし事後|事後|事后|性交之后	セックス後(mt)|歩き事後(wiki)|ずらし事後(wiki)|事後(wiki)	
79	general	dakimakura (medium)	抱き枕（中）	mt_unverified	抱き枕（中）	抱きまくら|抱き枕カバー|抱枕|等身抱枕	抱き枕（中）(mt)|抱き枕(wiki)|抱きまくら(wiki)|抱き枕カバー(wiki)	mt_unverified
78	general	fishnet thighhighs	ニーハイの魚網タイプ	mt_unverified	ニーハイの魚網タイプ		網タイツ(wiki)|ニーハイの魚網タイプ(mt)	mt_unverified
78	general	buttons	ボタン	mt_verified	ボタン		ボタン(wiki)	
78	general	maid apron	メイドエプロン	mt_verified	メイドエプロン		メイドエプロン(mt)	
78	general	thought bubble	思考泡	mt_verified	思考泡		思考泡(tagpair)|思考の雲(tagpair)	
78	general	tiara	ティアラ	mt_verified	ティアラ		ティアラ(wiki)	
78	general	bukkake	ぶっかけ	mt_unverified	ぶっかけ	精浴	ぶっかけ(wiki)|精浴(wiki)	mt_unverified
78	general	horse tail	馬の尾	tagpair_verified	ポニーテール		馬の尾(tagpair)|馬の尾っぽ(tagpair)|ポニーテール(mt)	
78	general	disembodied penis	抜け落ちたペニス	mt_unverified	抜け落ちたペニス		浮遊ペニス(tagpair)|浮遊するペニス(tagpair)|抜け落ちたペニス(mt)	mt_unverified
77	general	seiza	正座	mt_verified	正座	跪坐	正座(wiki)	
77	general	shirt tucked in	シャツをインする	mt_verified	シャツをインする	シャツ入れ	シャツをインする(tagpair)|シャツイン(wiki)|シャツ入れ(wiki)	
77	general	nun	修道女	mt_verified	修道女	シスター服|バトルシスター|修女|修道女	修道女(tagpair)|シスター服(wiki)|シスター(wiki)|バトルシスター(wiki)	
77	general	rose	ばら	wiki_verified	バラ	バラ|薔薇	ばら(wiki)|バラ(wiki)|薔薇(wiki)	
77	general	smug	得意げな表情	mt_unverified	得意げな表情	ドヤ顔|どや乳|ドヤ乳|得意	どや顔(wiki)|ドヤ顔(wiki)|どや乳(wiki)|得意げな表情(mt)	mt_unverified
77	character	ganyu (genshin impact)	甘雨	wiki_han		刻甘|循循守月|甘雨(原神)		
76	general	black wings	黒い翼	mt_verified	黒い翼	黒翼	黒い翼(wiki)|黒翼(wiki)	
76	general	pink background	ピンク背景	tagpair_verified	ピンクの背景		ピンク背景(tagpair)|ピンク色の背景(tagpair)|ピンクの背景(mt)|粉色背景(wiki)	
76	general	foot out of frame	画面外の足	mt_unverified	画面外の足		足切れショット(tagpair)|足切れ(tagpair)|画面外の足(mt)	mt_unverified
76	general	wet swimsuit	濡れた水着	mt_verified	濡れた水着		濡れた水着(tagpair)|濡れたスイムウェア(tagpair)	
76	general	ovum	卵	mt_unverified	卵		卵(mt)|卵子(wiki)|卵細胞(tagpair)	mt_unverified
76	copyright	the king of fighters	キングオブファイターズ	wiki		ザキングオブファイターズ|ザ·キング·オブ·ファイターズ|ザ・キング・オブ・ファイターズ|拳皇		
75	general	hair bobbles	髪飾り	mt_unverified	髪飾り		ヘアゴム(wiki)|髪飾り(mt)	mt_unverified
75	general	pubic tattoo	陰部タトゥー	mt_unverified	陰部タトゥー		陰部タトゥー(mt)|淫紋(wiki)	mt_unverified
75	general	turtleneck sweater	タートルネックセーター	mt_verified	タートルネックセーター		タートルネックセーター(mt)|タートルネック(wiki)	
75	general	bra pull	ブラジャーの締め付け	mt_unverified	ブラジャーの締め付け		ブラジャーの締め付け(mt)|下ズレ(wiki)|ブラ見せ(tagpair)	mt_unverified
75	general	matching hair/eyes	髪色と目色が一致している	mt_unverified	髪色と目色が一致している		髪色と目色が一致している(mt)	sentence-like;mt_unverified
75	general	sportswear	スポーツウェア	mt_unverified	スポーツウェア	スポーツタイツ|トレーニングウェア	スポーツウェア(wiki)|スポーツタイツ(wiki)|トレーニングウェア(wiki)	mt_unverified
